"date","n_refugees"
2013-07-09,1597562
2013-07-10,1605576
2013-07-11,1594804
2013-07-12,1597452
2013-07-13,1598259
2013-07-14,1606134
2013-07-15,1613864
2013-07-16,1616693
2013-07-17,1635861
2013-07-18,1638915
2013-07-19,1641470
2013-07-21,1641860
2013-07-22,1661833
2013-07-23,1665743
2013-07-24,1671373
2013-07-25,1675695
2013-07-26,1677517
2013-07-28,1679974
2013-07-29,1683945
2013-07-30,1694277
2013-07-31,1701365
2013-08-01,1705820
2013-08-02,1707952
2013-08-04,1708283
2013-08-05,1718857
2013-08-06,1714485
2013-08-07,1721209
2013-08-08,1723923
2013-08-09,1724584
2013-08-11,1726010
2013-08-12,1728870
2013-08-13,1733914
2013-08-14,1738985
2013-08-15,1741843
2013-08-16,1744155
2013-08-18,1741896
2013-08-19,1754278
2013-08-20,1763747
2013-08-21,1767135
2013-08-22,1775992
2013-08-23,1778420
2013-08-24,1778429
2013-08-25,1779634
2013-08-26,1787366
2013-08-27,1813578
2013-08-28,1820862
2013-08-29,1830557
2013-08-31,1834708
2013-09-01,1840028
2013-09-02,1855939
2013-09-03,1866429
2013-09-04,1869063
2013-09-05,1872067
2013-09-06,1874246
2013-09-09,1877020
2013-09-12,1885818
2013-09-14,1889185
2013-09-16,1928940
2013-09-17,1932391
2013-09-18,1961539
2013-09-19,1962989
2013-09-21,1969213
2013-09-22,1981868
2013-09-23,1985111
2013-09-24,1993915
2013-09-25,1993882
2013-09-26,1994779
2013-09-27,2002456
2013-09-29,2002825
2013-09-30,2005752
2013-10-01,2017839
2013-10-02,2030271
2013-10-03,2041175
2013-10-04,2043805
2013-10-06,2046232
2013-10-07,2053173
2013-10-08,2061018
2013-10-09,2065004
2013-10-10,2070846
2013-10-11,2070850
2013-10-13,2071459
2013-10-14,2077517
2013-10-16,2079904
2013-10-17,2083652
2013-10-19,2086233
2013-10-20,2086967
2013-10-21,2089473
2013-10-22,2095450
2013-10-23,2100034
2013-10-24,2103707
2013-10-25,2109426
2013-10-27,2109535
2013-10-28,2114725
2013-10-29,2117104
2013-10-30,2106920
2013-10-31,2112829
2013-11-01,2113414
2013-11-02,2119120
2013-11-03,2121535
2013-11-04,2121572
2013-11-05,2159923
2013-11-06,2158212
2013-11-07,2153072
2013-11-08,2178259
2013-11-10,2179837
2013-11-11,2167774
2013-11-12,2173086
2013-11-13,2176160
2013-11-14,2179458
2013-11-15,2181948
2013-11-17,2188409
2013-11-18,2191223
2013-11-19,2196605
2013-11-20,2202071
2013-11-21,2205419
2013-11-24,2205562
2013-11-25,2208673
2013-11-26,2216699
2013-11-27,2229191
2013-11-28,2233205
2013-11-30,2246131
2013-12-02,2246171
2013-12-03,2252398
2013-12-04,2256118
2013-12-05,2259342
2013-12-06,2261500
2013-12-08,2264623
2013-12-09,2269094
2013-12-10,2272818
2013-12-11,2275733
2013-12-12,2279654
2013-12-14,2282276
2013-12-15,2283182
2013-12-16,2299705
2013-12-17,2299696
2013-12-18,2306664
2013-12-19,2308438
2013-12-22,2309788
2013-12-23,2314211
2013-12-24,2315552
2013-12-25,2316800
2013-12-26,2320154
2013-12-27,2322264
2013-12-29,2325350
2013-12-30,2327737
2013-12-31,2301668
2014-01-01,2301533
2014-01-02,2303746
2014-01-03,2304870
2014-01-05,2310299
2014-01-06,2316667
2014-01-07,2319063
2014-01-08,2321837
2014-01-09,2325533
2014-01-10,2330256
2014-01-12,2332239
2014-01-13,2332688
2014-01-14,2335685
2014-01-15,2344470
2014-01-16,2346697
2014-01-18,2348875
2014-01-19,2354593
2014-01-20,2364103
2014-01-21,2366732
2014-01-22,2373446
2014-01-23,2377984
2014-01-24,2380063
2014-01-26,2383367
2014-01-27,2388054
2014-01-28,2391309
2014-01-29,2394028
2014-01-30,2396806
2014-01-31,2398976
2014-02-02,2412679
2014-02-03,2416113
2014-02-04,2417736
2014-02-05,2426077
2014-02-06,2433755
2014-02-07,2435767
2014-02-09,2444567
2014-02-10,2447731
2014-02-11,2450156
2014-02-12,2453278
2014-02-13,2429299
2014-02-14,2431147
2014-02-16,2440448
2014-02-17,2438687
2014-02-18,2443007
2014-02-19,2444928
2014-02-20,2448919
2014-02-21,2450810
2014-02-23,2461136
2014-02-24,2464006
2014-02-25,2465337
2014-02-26,2470945
2014-02-27,2474297
2014-02-28,2481506
2014-03-02,2481606
2014-03-03,2483975
2014-03-04,2486221
2014-03-05,2493848
2014-03-06,2495768
2014-03-07,2498312
2014-03-09,2510517
2014-03-10,2512901
2014-03-11,2516257
2014-03-12,2518356
2014-03-13,2520267
2014-03-15,2522944
2014-03-16,2530929
2014-03-17,2532253
2014-03-18,2534613
2014-03-19,2537014
2014-03-20,2540148
2014-03-22,2542240
2014-03-23,2544736
2014-03-24,2547889
2014-03-25,2551671
2014-03-26,2554371
2014-03-27,2556972
2014-03-28,2558091
2014-03-30,2575825
2014-03-31,2577318
2014-04-01,2580070
2014-04-02,2582765
2014-04-03,2585182
2014-04-05,2600675
2014-04-06,2600104
